행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_18세,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_18세,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_18세
전국,"51,430,018","468,291","468,291","25,631,538","242,177","242,177","25,798,480","226,114","226,114"
서울특별시,"9,424,873","77,852","77,852","4,567,739","39,916","39,916","4,857,134","37,936","37,936"
부산광역시,"3,316,107","26,446","26,446","1,618,749","13,600","13,600","1,697,358","12,846","12,846"
대구광역시,"2,362,880","21,967","21,967","1,162,217","11,555","11,555","1,200,663","10,412","10,412"
인천광역시,"2,969,502","26,793","26,793","1,486,300","13,754","13,754","1,483,202","13,039","13,039"
광주광역시,"1,429,816","15,251","15,251","706,724","7,895","7,895","723,092","7,356","7,356"
대전광역시,"1,445,806","14,602","14,602","721,037","7,584","7,584","724,769","7,018","7,018"
울산광역시,"1,110,074","10,626","10,626","570,113","5,633","5,633","539,961","4,993","4,993"
세종특별자치시,"384,496","4,070","4,070","191,769","2,007","2,007","192,727","2,063","2,063"
경기도,"13,596,091","129,441","129,441","6,842,226","66,257","66,257","6,753,865","63,184","63,184"
강원도,"1,535,373","13,764","13,764","772,297","7,194","7,194","763,076","6,570","6,570"
충청북도,"1,594,459","14,535","14,535","810,740","7,628","7,628","783,719","6,907","6,907"
충청남도,"2,122,913","19,758","19,758","1,086,686","10,197","10,197","1,036,227","9,561","9,561"
전라북도,"1,768,229","17,199","17,199","879,922","8,878","8,878","888,307","8,321","8,321"
전라남도,"1,816,707","16,253","16,253","914,811","8,455","8,455","901,896","7,798","7,798"
경상북도,"2,597,527","21,863","21,863","1,310,583","11,608","11,608","1,286,944","10,255","10,255"
경상남도,"3,277,672","31,218","31,218","1,650,300","16,517","16,517","1,627,372","14,701","14,701"
제주특별자치도,"677,493","6,653","6,653","339,325","3,499","3,499","338,168","3,154","3,154"
